id,type,domain,enabled,date_added,date_modified,comment
167,1,mestextos.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
168,1,youngcons.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
169,1,expedia.be,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
170,1,thyblackman.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
171,1,geektv.is,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
172,1,uipress.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
173,1,newshub.org,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
174,1,sportsmockery.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
175,1,expedia.co.th,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
176,1,radiokosovaelire.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
177,1,hoteis.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
178,1,rojadirecta.ge,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
179,1,punxsutawneyspirit.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
180,1,thegaptek.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
181,1,theimproper.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
182,1,inyoregister.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
183,1,therojadirecta.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
184,1,theeveningleader.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
185,1,rhmodern.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
186,1,travelocity.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
187,1,cartoon-world.tv,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
188,1,cagedinsider.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
189,1,expedia.co.id,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
190,1,splintergame.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
191,1,emuparadise.me,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
192,1,aebuster.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
193,1,x-buket.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
194,1,chegg.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
195,1,unas.at.ua,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
196,1,moviesplanet.is,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
